accel,Walk,Stand,Run,Descend Stairs
0.011728994,0,1,0,0
0.018971089,0,1,0,0
0.007666561,0,1,0,0
0.016215759,0,1,0,0
0.014249491,0,1,0,0
0.0187987,0,1,0,0
0.01700107,0,1,0,0
0.030935253,0,1,0,0
0.027804407,0,1,0,0
0.010421718,0,1,0,0
0.007163463,0,1,0,0
0.007387595,0,1,0,0
0.014537795,0,1,0,0
0.042382748,0,1,0,0
0.017031286,0,1,0,0
0.020072985,0,1,0,0
0.018610163,0,1,0,0
0.022654521,0,1,0,0
0.027604836,0,1,0,0
0.022963903,0,1,0,0
0.020314671,0,1,0,0
0.032247489,0,1,0,0
0.020173987,0,1,0,0
0.00987348,0,1,0,0
0.009602827,0,1,0,0
0.006318009,0,1,0,0
0.020911436,0,1,0,0
0.029958332,0,1,0,0
0.015348859,0,1,0,0
0.022124539,0,1,0,0
0.00708912,0,1,0,0
0.00696907,0,1,0,0
0.01491477,0,1,0,0
0.020093035,0,1,0,0
0.00848775,0,1,0,0
0.014681636,0,1,0,0
0.013926201,0,1,0,0
0.036490778,0,1,0,0
0.00566835,0,1,0,0
0.022445569,0,1,0,0
0.004349628,0,1,0,0
0.007762953,0,1,0,0
0.008793191,0,1,0,0
0.003463571,0,1,0,0
0.002734842,0,1,0,0
0.026440076,0,1,0,0
0.015064311,0,1,0,0
0.012414576,0,1,0,0
0.010571491,0,1,0,0
0.020017577,0,1,0,0
0.027617979,0,1,0,0
0.009993722,0,1,0,0
0.027470374,0,1,0,0
0.022663569,0,1,0,0
0.008825292,0,1,0,0
0.025692218,0,1,0,0
0.008580751,0,1,0,0
0.024421393,0,1,0,0
0.009968922,0,1,0,0
0.028221406,0,1,0,0
0.011534151,0,1,0,0
0.012837639,0,1,0,0
0.013685572,0,1,0,0
0.019253041,0,1,0,0
0.021992921,0,1,0,0
0.008052295,0,1,0,0
0.035107118,0,1,0,0
0.00999265,0,1,0,0
0.020249375,0,1,0,0
0.034633487,0,1,0,0
0.001888998,0,1,0,0
0.013397194,0,1,0,0
0.02582659,0,1,0,0
0.026921417,0,1,0,0
0.005529317,0,1,0,0
0.013693788,0,1,0,0
0.018496913,0,1,0,0
0.013584455,0,1,0,0
0.014854789,0,1,0,0
0.013022862,0,1,0,0
0.022452024,0,1,0,0
0.014305704,0,1,0,0
0.013861115,0,1,0,0
0.002414458,0,1,0,0
0.024613334,0,1,0,0
0.031297731,0,1,0,0
0.033535421,0,1,0,0
0.01902626,0,1,0,0
0.018944513,0,1,0,0
0.012895969,0,1,0,0
0.002921094,0,1,0,0
0.019700187,0,1,0,0
0.019265845,0,1,0,0
0.013269482,0,1,0,0
0.017086544,0,1,0,0
0.016021992,0,1,0,0
0.02637339,0,1,0,0
0.010808256,0,1,0,0
0.027605096,0,1,0,0
0.020079503,0,1,0,0
0.013133783,0,1,0,0
0.013646135,0,1,0,0
0.011210203,0,1,0,0
0.025371689,0,1,0,0
0.006535111,0,1,0,0
0.01104997,0,1,0,0
0.00777552,0,1,0,0
0.031616098,0,1,0,0
0.013859716,0,1,0,0
0.015859259,0,1,0,0
0.028888459,0,1,0,0
0.011930125,0,1,0,0
0.020318965,0,1,0,0
0.024766162,0,1,0,0
0.036585659,0,1,0,0
0.012651865,0,1,0,0
0.010193309,0,1,0,0
0.014955862,0,1,0,0
0.02066451,0,1,0,0
0.01401494,0,1,0,0
0.00859216,0,1,0,0
0.03534538,0,1,0,0
0.030650907,0,1,0,0
0.010761076,0,1,0,0
0.022217961,0,1,0,0
0.011440857,0,1,0,0
0.013091544,0,1,0,0
0.025604401,0,1,0,0
0.024247261,0,1,0,0
0.012806205,0,1,0,0
0.020537093,0,1,0,0
0.006807126,0,1,0,0
0.024384639,0,1,0,0
0.02190788,0,1,0,0
0.016195235,0,1,0,0
0.014731691,0,1,0,0
0.013425277,0,1,0,0
0.013979415,0,1,0,0
0.024498389,0,1,0,0
0.008800238,0,1,0,0
0.013470215,0,1,0,0
0.021567073,0,1,0,0
0.029940538,0,1,0,0
0.015004371,0,1,0,0
0.012817802,0,1,0,0
0.012307618,0,1,0,0
0.023771759,0,1,0,0
0.020415372,0,1,0,0
0.018488518,0,1,0,0
0.009671661,0,1,0,0
0.011262516,0,1,0,0
0.021166614,0,1,0,0
0.010013783,0,1,0,0
0.012451438,0,1,0,0
0.016877661,0,1,0,0
0.024874591,0,1,0,0
0.011186087,0,1,0,0
0.010528971,0,1,0,0
0.019691091,0,1,0,0
0.00645597,0,1,0,0
0.01574825,0,1,0,0
0.011951728,0,1,0,0
0.02005215,0,1,0,0
0.008704334,0,1,0,0
0.014943828,0,1,0,0
0.014376347,0,1,0,0
0.015607939,0,1,0,0
