idx,country,users,purpose,detailed_purpose,period,mass,site,contractor,min_lifetime,max_lifetime,date
487,United States,Commercial,Communications,,114.1,450.0,Cape Canaveral,Space Systems/Loral,10.0,10.0,1999-07-25
488,United States,Commercial,Communications,,114.1,450.0,Baikonur Cosmodrome,Space Systems/Loral,10.0,10.0,1999-10-18
489,United States,Commercial,Communications,,114.1,450.0,Baikonur Cosmodrome,Space Systems/Loral,10.0,10.0,1999-03-15
490,United States,Commercial,Communications,,114.1,450.0,Baikonur Cosmodrome,Space Systems/Loral,10.0,10.0,1999-11-22
491,United States,Commercial,Communications,,114.1,450.0,Baikonur Cosmodrome,Space Systems/Loral,10.0,10.0,1999-02-09
492,United States,Commercial,Communications,,114.1,450.0,Baikonur Cosmodrome,Space Systems/Loral,10.0,10.0,1999-10-18
493,United States,Commercial,Communications,,114.1,450.0,Baikonur Cosmodrome,Space Systems/Loral,10.0,10.0,1999-10-18
494,United States,Commercial,Communications,,114.1,450.0,Cape Canaveral,Space Systems/Loral,10.0,10.0,2000-02-08
495,United States,Commercial,Communications,,114.1,450.0,Baikonur Cosmodrome,Space Systems/Loral/Alenia Aerospazio,10.0,10.0,2007-05-29
496,United States,Commercial,Communications,,114.1,450.0,Baikonur Cosmodrome,Space Systems/Loral/Alenia Aerospazio,10.0,10.0,2007-10-20
497,United States,Commercial,Communications,,114.1,450.0,Baikonur Cosmodrome,Space Systems/Loral/Alenia Aerospazio,10.0,10.0,2007-10-20
498,United States,Commercial,Communications,,114,450.0,Baikonur Cosmodrome,Space Systems/Loral/Alenia Aerospazio,10.0,10.0,2007-10-20
499,United States,Commercial,Communications,,114.1,450.0,Baikonur Cosmodrome,Space Systems/Loral/Alenia Aerospazio,10.0,10.0,2007-05-29
500,United States,Commercial,Communications,,114.1,450.0,Baikonur Cosmodrome,Space Systems/Loral/Alenia Aerospazio,10.0,10.0,2007-10-20
501,United States,Commercial,Communications,,114.1,450.0,Baikonur Cosmodrome,Space Systems/Loral/Alenia Aerospazio,10.0,10.0,2007-05-29
502,United States,Commercial,Communications,,114.1,450.0,Baikonur Cosmodrome,Space Systems/Loral/Alenia Aerospazio,10.0,10.0,2007-05-29
503,United States,Commercial,Communications,,114.1,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2010-10-19
504,United States,Commercial,Communications,,114.1,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2010-10-19
505,United States,Commercial,Communications,,114.1,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2010-10-19
506,United States,Commercial,Communications,,114.1,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2010-10-19
507,United States,Commercial,Communications,,114.1,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2010-10-19
