idx,country,users,purpose,detailed_purpose,period,mass,site,contractor,min_lifetime,max_lifetime,date
355,France,Military,Earth Observation,Electronic Intelligence,98.46,120.0,Guiana Space Center,Astrium/Thales Alenia Space,,,2011-12-17
356,USA/Canada/Japan,Government,Earth Observation,Earth Science,98.8,4854.0,Vandenberg AFB,Lockheed Martin,6.0,6.0,1999-12-18
357,United States,Government,Earth Observation,Earth Science,98.8,2967.0,Vandenberg AFB,TRW,5.0,5.0,2004-07-15
358,USA/Japan/Brazil,Government,Earth Observation,Earth Science,98.8,2934.0,Vandenberg AFB,NASA/Jet Propulsion Laboratory/Japan Aerospace Exploration Agency/Equatorial Systems (Brazil),6.0,6.0,2002-05-04
359,Japan,Government,Space Science,,580,350.0,Uchinoura Space Center,Japan Aerospace Exploration Agency (JAXA),1.0,1.0,2016-12-20
360,Israel,Military/Commercial,Earth Observation,Optical Imaging,94.8,350.0,Svobodny Cosmodrome,Israel Aircraft Industries (IAI),10.0,10.0,2006-04-25
361,Italy,Civil,Technology Development,,95.9,1.0,Guiana Space Center,Polytechnic of Turin,,,2016-04-25
362,Turkey/France,Commercial,Communications,,1436.06,3535.0,Guiana Space Center,Alcatel Space Industries,15.0,15.0,2001-01-10
363,Multinational,Commercial,Communications,,1436.09,5900.0,Baikonur Cosmodrome,Alcatel Alenia Space,15.0,15.0,2009-04-03
364,Multinational,Commercial,Communications,,1436.1,5456.0,Guiana Space Center,Space Systems/Loral,15.0,15.0,2006-05-27
365,Multinational,Commercial,Communications,,1436,,Cape Canaveral,Boeing Defense and Space,15.0,15.0,2015-03-02
366,Multinational,Commercial,Communications,,1436.1,5474.0,Baikonur Cosmodrome,Space Systems/Loral,15.0,15.0,2013-03-26
367,Multinational,Commercial,Communications,,1436.1,5500.0,Cape Canaveral,Boeing Satellite Systems,15.0,15.0,2016-06-15
368,Multinational,Commercial,Communications,,1436.1,2700.0,Guiana Space Center,Alenia Spazio,15.0,15.0,2002-08-28
369,Multinational,Commercial,Communications,,1436.12,5400.0,Xichang Satellite Launch Center,Thales Alenia Space,,,2011-10-07
370,Multinational,Commercial,Communications,,1436.06,2500.0,Baikonur Cosmodrome,Alcatel Space/NPO PM (Applied Mechanics),,,2000-04-17
371,Multinational,Commercial,Communications,,1436.1,5000.0,Baikonur Cosmodrome,Alcatel Alenia Space,16.0,16.0,2005-12-29
372,Multinational,Commercial,Communications,,1434.03,,Guiana Space Center,Space Systems/Loral,15.0,15.0,2013-08-29
373,Multinational,Commercial,Communications,,1436.06,1525.0,Guiana Space Center,Boeing Satellite Systems,10.0,10.0,2003-09-27
374,Multinational,Commercial,Communications,,1436.1,2950.0,Guiana Space Center,Alcatel Space Industries,12.0,12.0,2001-03-08
375,Multinational,Commercial,Communications,,1436.08,3190.0,Cape Canaveral,Alcatel Space Industries,12.0,12.0,2000-05-24
376,Multinational,Commercial,Communications,,1436.09,5600.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2009-11-24
377,Multinational,Commercial,Communications,,1436.1,5967.0,Sea Launch (Odyssey),Airbus Defense and Space,15.0,15.0,2014-05-26
378,Multinational,Commercial,Communications,,1436.07,2915.0,Cape Canaveral,Matra Marconi Space (Astrium),14.0,14.0,1996-11-21
379,Multinational,Commercial,Communications,,1436.12,5102.0,Guiana Space Center,Thales Alenia Space,15.0,15.0,2012-11-10
380,Multinational,Commercial,Communications,,1436.08,4050.0,Guiana Space Center,Alcatel Space Industries,15.0,15.0,2002-07-05
381,Multinational,Commercial,Communications,,1436.07,6654.0,Guiana Space Center,Space Systems/Loral,15.0,15.0,2016-03-09
382,Multinational,Commercial,Communications,,1436.09,4600.0,Sea Launch (Odyssey),Astrium,15.0,15.0,2011-09-24
383,Multinational,Commercial,Communications,,1436.28,5250.0,Sea Launch (Odyssey),EADS Astrium,15.0,15.0,2012-12-03
384,Multinational,Commercial,Communications,,1436.07,4300.0,Baikonur Cosmodrome,Astrium,15.0,15.0,2004-03-15
385,Multinational,Commercial,Communications,,1436.21,5404.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2013-05-14
386,Multinational,Commercial,Communications,,1436.1,3150.0,Guiana Space Center,Alcatel Space Industries,15.0,15.0,2001-09-25
387,Multinational,Commercial,Communications,,1436.1,5800.0,Guiana Space Center,Thales Alenia Space,15.0,15.0,2015-08-20
388,Multinational,Commercial,Communications,,1436.06,3800.0,Cape Canaveral,Alcatel Space Industries,12.0,12.0,2002-08-28
389,Multinational,Commercial,Communications,,1436.1,4100.0,Guiana Space Center,Alcatel Alenia Space,15.0,15.0,2006-03-11
390,Multinational,Commercial,Communications,,1436.07,4892.0,Guiana Space Center,EADS Astrium,15.0,15.0,2009-02-11
391,Multinational,Commercial,Communications,,1436.06,4900.0,Baikonur Cosmodrome,EADS Space,15.0,15.0,2006-08-04
392,Multinational,Commercial,Communications,,1436.09,4880.0,Guiana Space Center,EADS Astrium,15.0,15.0,2008-12-20
393,Multinational,Commercial,Communications,,1436.06,5200.0,Baikonur Cosmodrome,Airbus Defense and Space,15.0,15.0,2016-01-29
394,Multinational,Commercial,Communications,,1436.01,6150.0,Baikonur Cosmodrome,EADS Astrium,15.0,15.0,2010-12-26
395,Canada,Commercial,Communications,Automatic Identification System (AIS),101.2,100.0,Baikonur Cosmodrome,Surrey Satellite Technologies Ltd.,,,2012-07-22
396,Canada,Commercial,Communications,Automatic Identification System (AIS),98,12.0,Dombarovsky Air Base,SpaceQuest,,,2011-08-17
397,Canada,Commercial,Communications,Automatic Identification System (AIS),97.5,6.0,Satish Dhawan Space Centre,Space Flight Laboratory (SFL),,,2015-09-28
398,Russia/Multinational,Commercial,Communications,,1436.06,2600.0,Baikonur Cosmodrome,NPO-PM/Alcatel,12.0,12.0,2003-12-28
399,Russia,Commercial,Communications,,1436.1,2700.0,Baikonur Cosmodrome,Airbus Defense and Space,15.0,15.0,2015-12-24
400,Russia,Commercial,Communications,,1436.1,2600.0,Baikonur Cosmodrome,NPO-PM/Alcatel,7.0,10.0,2002-06-10
401,Russia,Commercial,Communications,,1436.1,2542.0,Baikonur Cosmodrome,NPO-PM/Alcatel,12.0,12.0,2005-03-29
402,Russia,Commercial,Communications,,1436.1,2600.0,Baikonur Cosmodrome,NPO-PM/Alcatel,12.0,12.0,2005-06-24
403,Russia,Commercial,Communications,,1436.1,2600.0,Baikonur Cosmodrome,NPO-PM/Thales Alenia Space,12.0,12.0,2008-01-28
404,Russia,Commercial,Communications,,1446.57,2532.0,Baikonur Cosmodrome,NPO-PM/Thales Alenia Space,12.0,12.0,2009-02-11
405,Russia,Commercial,Communications,,1430.6,3400.0,Baikonur Cosmodrome,OAO-ISS,15.0,15.0,2013-12-26
406,Russia,Commercial,Communications,,1440.09,3358.0,Baikonur Cosmodrome,ISS Reshetnev ,15.0,15.0,2014-10-21
407,Russia,Commercial,Communications,,1436.1,5720.0,Baikonur Cosmodrome,Airbus Defense and Space,15.0,15.0,2015-03-18
408,Russia,Commercial,Communications,,1436.09,2100.0,Baikonur Cosmodrome,ISS Reshetnev,15.0,15.0,2015-09-14
409,Russia,Commercial,Communications,,1436.4,1726.0,Baikonur Cosmodrome,OAO-ISS,15.0,15.0,2014-03-15
410,Russia,Commercial,Communications,,1429.75,1427.0,Baikonur Cosmodrome,OAO-ISS,15.0,15.0,2014-03-15
411,United States,Military/Civil,Technology Development,,95.4,46.0,Cape Canaveral,US Air Force Academy,,,2007-03-09
412,United States,Civil,Technology Development,,97.54,55.0,Kodiak Launch Complex,University of Texas - Austin,,,2010-11-20
413,China,Government,Technology Development,,94.49,160.0,Taiyuan Launch Center,Chinese Academy of Space Technology (CAST),,,2012-11-20
414,China,Government,Earth Observation,Earth Science,1436,1390.0,Xichang Satellite Launch Center,China Aerospace Corporation,3.0,3.0,2006-12-08
415,China,Government,Earth Observation,Earth Science,1436.04,1390.0,Xichang Satellite Launch Center,Shanghai Academy of Space Flight Technology,3.0,3.0,2008-12-23
416,China,Government,Earth Observation,Earth Science,1436.19,1390.0,Xichang Satellite Launch Center,Shanghai Academy of Space Flight Technology,3.0,3.0,2012-01-12
417,China,Government,Earth Observation,Earth Science,1436.02,1390.0,Xichang Satellite Launch Center,Shanghai Academy of Space Flight Technology,,,2014-12-31
418,China,Government,Earth Observation,Earth Science,101.5,2300.0,Taiyuan Launch Center,Shanghai Academy of Space Flight Technology,,,2008-05-27
419,China,Government,Earth Observation,Earth Science,101.5,2300.0,Taiyuan Launch Center,Shanghai Academy of Space Flight Technology,,,2010-11-04
420,China,Government,Earth Observation,Earth Science,101.45,2300.0,Taiyuan Launch Center,Shanghai Academy of Space Flight Technology,,,2013-09-23
421,United States,Government,Space Science,,95.60,4303.0,Cape Canaveral,General Dynamics,,,2008-06-11
422,United States,Military,Earth Observation,Radar Imaging,107.35,,Vandenberg AFB,National Reconnaissance Office (NRO),,,2010-09-21
423,United States,Military,Earth Observation,Radar Imaging,107.00,,Vandenberg AFB,National Reconnaissance Office (NRO),,,2012-04-03
424,United States,Military,Earth Observation,Radar Imaging,106.70,,Vandenberg AFB,National Reconnaissance Office (NRO),,,2013-12-06
425,United States,Military,Earth Observation,Radar Imaging,106.70,,Vandenberg AFB,National Reconnaissance Office (NRO),,,2016-02-10
426,United States,Government/Civil,Space Science,,98.00,2.0,Vandenberg AFB,Montana State University,3.0,3.0,2013-12-06
427,United States,Government/Civil,Space Science,,98.00,2.0,Vandenberg AFB,Montana State University,3.0,3.0,2013-12-06
428,United States,Government/Civil,Space Science,,95.70,2.0,Vandenberg AFB,Montana State University,0.25,0.25,2015-01-31
429,United States,Government/Civil,Space Science,,97.70,2.0,Vandenberg AFB,Montana State University,0.25,0.25,2015-01-31
430,United States,Government/Civil,Earth Science,,94.68,3.0,Wallops Island Flight Facility,National Science Foundation,1.0,1.0,2013-11-19
431,United States,Military,Communications,,"1,436.13",2310.0,Cape Canaveral,"TRW, Defense and Space Systems Group",5.0,5.0,1989-09-25
432,United States,Government,Earth Observation,Radar Imaging,101,215.0,Vandenberg AFB,Los Alamos National Lab/Sandia National Lab,3.0,3.0,1997-08-29
433,United States,Civil,Communications/Technology Development,,97.7,1.0,Cape Canaveral,AMSAT/Penn State University/Vanderbilt University/Virginia Tech,11.0,11.0,2015-10-08
434,Netherlands,Civil,Communications,,97.4,1.0,Dombarovsky Air Base,AMSAT/UK-AMSAT/NL,,,2013-11-21
435,Singapore,Civil,Earth Science,,95.43,3.0,Satish Dhawan Space Centre,National University of Singapore,,,2015-12-16
436,United States,Commercial,Communications,,1436.11,4488.0,Guiana Space Center,Boeing Satellite Systems,14.0,14.0,1999-01-21
437,United States,Commercial,Communications,,1436.07,1760.0,Guiana Space Center,Orbital Sciences Corp.,15.0,15.0,2003-04-09
438,USA/Japan,Commercial,Communications,,1436.07,4060.0,Sea Launch (Odyssey),Boeing Satellite Systems,15.0,15.0,2003-10-01
439,United States,Commercial,Communications,,1436.07,2086.0,Baikonur Cosmodrome,Orbital Sciences Corp.,15.0,15.0,2005-08-13
440,United States,Commercial,Communications,,1436.07,2033.0,Guiana Space Center,Orbital Sciences Corp.,15.0,15.0,2005-10-13
441,United States,Commercial,Communications,,1436.1,4640.0,Sea Launch (Odyssey),Space Systems/Loral,15.0,15.0,2006-06-18
442,United States,Commercial,Communications,,1436.1,4100.0,Guiana Space Center,Thales Alenia Space,15.0,15.0,2007-05-04
443,United States,Commercial,Communications,,1436.1,4642.0,Sea Launch (Odyssey),Space Systems/Loral,15.0,15.0,2008-05-21
444,United States,Commercial,Communications,,1436.1,4690.0,Sea Launch (Odyssey),Space Systems/Loral,15.0,15.0,2008-09-24
445,United States,Commercial,Communications,,1436.08,3515.0,Baikonur Cosmodrome,Space Systems/Loral,13.0,13.0,1997-05-24
446,United States,Commercial,Communications,,1436.1,5493.0,Sea Launch (Odyssey),Space Systems/Loral,13.0,13.0,2005-06-23
447,United States,Commercial,Communications,,1436.11,4860.0,Sea Launch (Odyssey),Boeing Satellite Systems,15.0,15.0,2002-06-15
448,ESA,Commercial,Navigation/Global Positioning,,776.25,733.0,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2014-08-22
449,ESA,Commercial,Navigation/Global Positioning,,847.01,723.0,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2016-05-24
450,ESA,Commercial,Navigation/Global Positioning,,856.9,723.0,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2016-05-24
451,ESA,Commercial,Navigation/Global Positioning,,846,723.0,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2016-11-17
452,ESA,Commercial,Navigation/Global Positioning,,834,723.0,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2016-11-17
453,ESA,Commercial,Navigation/Global Positioning,,847,723.0,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2016-11-17
454,ESA,Commercial,Navigation/Global Positioning,,705.11,733.0,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2014-08-22
455,ESA,Commercial,Navigation/Global Positioning,,858.55,723.0,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2015-03-27
456,ESA,Commercial,Navigation/Global Positioning,,850.5,723.0,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2015-03-27
457,ESA,Commercial,Navigation/Global Positioning,,845,723.0,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2015-09-11
458,ESA,Commercial,Navigation/Global Positioning,,844,723.0,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2015-09-11
459,ESA,Commercial,Navigation/Global Positioning,,847,723.0,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2016-11-17
460,ESA,Commercial,Navigation/Global Positioning,,860.51,723.0,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2015-12-17
461,ESA,Commercial,Navigation/Global Positioning,,858.34,723.0,Guiana Space Center,"OHB-System GmbH, SSTL ",12.0,12.0,2015-12-17
462,ESA,Commerical,Navigation/Global Positioning,,846.98,700.0,Guiana Space Center,Astrium/Thales Alenia Space,12.0,12.0,2011-10-21
463,ESA,Commercial,Navigation/Global Positioning,,846.88,700.0,Guiana Space Center,Astrium/Thales Alenia Space,12.0,12.0,2011-10-21
464,ESA,Commercial,Navigation/Global Positioning,,844.76,700.0,Guiana Space Center,EADS Astrium,12.0,12.0,2012-10-12
465,ESA,Commercial,Navigation/Global Positioning,,844.69,700.0,Guiana Space Center,EADS Astrium,12.0,12.0,2012-10-12
466,China,Government,Earth Observation,Optical Imaging,97.56,1000.0,Jiuquan Satellite Launch Center,Shanghai Academy of Space Flight Technology,5.0,8.0,2013-04-26
467,China,Government,Earth Observation,Optical Imaging,97.06,1000.0,Taiyuan Launch Center,Shanghai Academy of Space Flight Technology,5.0,8.0,2014-08-19
468,China,Government,Earth Observation,Radar Imaging,99.8,1000.0,Taiyuan Launch Center,China Academy of Space Technology (CAST),5.0,8.0,2016-08-09
469,China,Government,Earth Observation,Optical Imaging,1436.1,4600.0,Xichang Satellite Launch Center,China Aerospace Science and Technology Corporation,8.0,8.0,2015-12-28
470,China,Government,Earth Observation,Optical Imaging,94.36,1000.0,Taiyuan Launch Center,Shanghai Academy of Space Flight Technology,5.0,8.0,2015-06-26
471,China,Government,Earth Observation,Optical Imaging,97.54,1000.0,Jiuquan Satellite Launch Center,Shanghai Academy of Space Flight Technology,5.0,8.0,2015-09-14
472,Russia,Military,Communications,,1436.1,5000.0,Baikonur Cosmodrome,ISS Reshetnev,,,2011-09-20
473,Russia,Military,Communications,,1436.1,5000.0,Baikonur Cosmodrome,ISS Reshetnev,,,2015-12-10
474,Indonesia/Philippines/Thailand,Commercial,Communications,,1436.16,4291.0,Baikonur Cosmodrome,Lockheed Martin Missiles and Space,12.0,12.0,2000-02-12
475,Denmark,Commercial,Technology Development,,98.9,5.0,Dombarovsky Air Base,GomSpace/University of Aalborg,,,2013-11-21
476,United States,Government,Technology Development,,95,10.0,Cape Canaveral,NearSpace Launch/Air Force Research Laboratory,,,2015-05-20
477,United States,Commercial,Technology Development,,95.6,1360.0,Dombarovsky Air Base,Bigelow Aerospace,5.0,5.0,2006-07-12
478,United States,Commercial,Technology Development,,95.6,1360.0,Dombarovsky Air Base,Bigelow Aerospace,5.0,5.0,2007-06-28
479,Russia,Military,Earth Science,,104.03,900.0,Plesetsk Cosmodrome,ISS Reshetnev,5.0,5.0,2016-06-05
480,United States,Commercial/Government,Earth Observation,Optical Imaging,98.3,1955.0,Vandenberg AFB,General Dynamics,7.0,7.0,2008-09-06
481,Multinational,Government,Space Science,,"2,474.83",980.0,Cape Canaveral,NASA/Goddard Space Flight Center,,,1992-07-24
482,Canada,Commercial,Earth Science,,94.70,15.0,Satish Dhawan,"University of Toronto, Institute for Aerospace Studies/ Space Flight Laboratory",,,2016-06-22
483,USA/Japan,Government,Earth Observation,Earth Science,98.80,1900.0,Tanegashima Space Center,Japan Aerospace Exploration Agency (JAXA),5.0,5.0,2012-05-17
484,United States,Commercial,Communications,,114,450.0,Cape Canaveral,Space Systems/Loral,10.0,10.0,1998-02-14
485,United States,Commercial,Communications,,114.1,450.0,Baikonur Cosmodrome,Space Systems/Loral,10.0,10.0,1999-02-09
486,United States,Commercial,Communications,,114.1,450.0,Cape Canaveral,Space Systems/Loral,10.0,10.0,1999-07-25
