date,country,users,purpose,detailed_purpose,period,mass,launch,lifetime,site,contractor,min_lifetime,max_lifetime,date
2014-09-07,China,Commercial,Communications,,1436.17,"3,700",9/7/14,15 yrs.,Cape Canaveral,Space Systems/Loral,15.0,15.0,2014-09-07
2011-11-25,China,Commercial,Communications,,1436.17,"3,813",11/25/11,15 yrs.,Baikonur Cosmodrome,Space Systems/Loral,15.0,15.0,2011-11-25
2014-08-05,China,Commercial,Communications,,1436.1,"4,500",8/5/14,15 yrs.,Cape Canaveral,Space Systems/Loral,15.0,15.0,2014-08-05
2000-03-21,USA,Commercial,Communications,,1436.15,"2,775",3/21/00,15 yrs.,Guiana Space Center,Alcatel Space Industries,15.0,15.0,2000-03-21
2014-11-06,Japan,Government,Earth Observation,Optical Imaging,94.75,500,11/6/14,3 yrs.,Dombarovsky Air Base,NEC,3.0,3.0,2014-11-06
1994-11-01,Luxembourg,Commercial,Communications,,1436.08,"2,924",11/1/94,15 yrs.,Guiana Space Center,Hughes,15.0,15.0,1994-11-01
1996-04-18,Luxembourg,Commercial,Communications,,1436.15,"3,010",4/18/96,15 yrs.,Baikonur Cosmodrome,Hughes,15.0,15.0,1996-04-18
1997-12-02,Luxembourg,Commercial,Communications,,1436.08,"3,379",12/2/97,15 yrs.,Baikonur Cosmodrome,Hughes,15.0,15.0,1997-12-02
1999-06-18,Luxembourg,Commercial,Communications,,1436.04,"3,690",6/18/99,15 yrs.,Baikonur Cosmodrome,Hughes,15.0,15.0,1999-06-18
2006-04-20,Luxembourg,Commercial,Communications,,1436.1,"4,332",4/20/06,15 yrs.,Cape Canaveral,Lockheed Martin Commercial Space Systems,15.0,15.0,2006-04-20
2007-05-04,Luxembourg,Commercial,Communications,,1436.03,"4,500",5/4/07,15 yrs.,Guiana Space Center,Lockheed Martin Commercial Space Systems,15.0,15.0,2007-05-04
2008-11-05,Luxembourg,Commercial,Communications,,1438.2,"5,345",11/5/08,15 yrs.,Baikonur Cosmodrome,EADS Astrium,15.0,15.0,2008-11-05
2011-08-06,Luxembourg,Commercial,Communications,,1434.1,"5,350",8/6/11,15 yrs.,Guiana Space Center,EADS Astrium,15.0,15.0,2011-08-06
1998-08-30,Luxembourg,Commercial,Communications,,1436.12,"3,635",8/30/98,15 yrs.,Baikonur Cosmodrome,Hughes,15.0,15.0,1998-08-30
2000-09-14,Luxembourg,Commercial,Communications,,1436.11,"3,315",9/14/00,14yrs.,Guiana Space Center,Astrium,14.0,14.0,2000-09-14
2001-06-16,Luxembourg,Commercial,Communications,,1436.12,"3,643",6/16/01,15 yrs.,Baikonur Cosmodrome,Boeing Satellite Systems,15.0,15.0,2001-06-16
2000-12-19,Luxembourg,Commercial,Communications,,1436.1,"1,420",12/19/00,15 yrs.,Guiana Space Center,Hughes,15.0,15.0,2000-12-19
2013-09-29,Luxembourg,Commercial,Communications,,1436.12,"6,052",9/29/13,15 yrs.,Baikonur Cosmodrome,EADS Astrium,15.0,15.0,2013-09-29
2012-09-28,Luxembourg,Commercial,Communications,,1436.07,"6,000",9/28/12,15 yrs.,Guiana Space Center,EADS Astrium,15.0,15.0,2012-09-28
2014-12-27,Luxembourg,Commercial,Communications,,1436.11,"6,000",12/27/14,15 yrs.,Baikonur Cosmodrome,Airbus Defense and Space,15.0,15.0,2014-12-27
