FMID,State,Zip,Schedule,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine
22000623,Pennsylvania,17325,"May - October Friday 9:30 AM to 5:00 PM, Saturday 9:30 AM to 2:00 PM",-77.201807,39.796024,Private business parking lot,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,N
22004010,Massachusetts,1220,,-73.1158,42.6293,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22002208,District of Columbia,20009,,-77.0426,38.9226,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22004653,New York,11231-1235,,-74.0231,40.6875,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22003240,Illinois,60101,,-87.9934,41.9321,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22003524,Iowa,50830,,-94.0175,41.6144,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22002699,California,92392,,-117.405,34.5593,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22004182,Maryland,21811,,-75.2113,38.3388,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1001884,Tennessee,38120,"May - October Monday - Friday 7:30 AM to 5:30 PM, Saturday 7:00 AM to 5:30 PM",-89.80535,35.1327587,Local government building grounds,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
22002651,Arizona,85233,,-111.726,33.3219,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
